name,address,price,psf,description,bedroom,bathroom,carpark
"Parc 3, Cheras","Cheras, Kuala Lumpur","RM 2,500",(RM 2.89 per sq. ft.),Serviced Residence  •  Built-up : 865 sq. ft.  •  Fully furnished,3,2,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 1,800",(RM 6 per sq. ft.),Condominium  •  Built-up : 300 sq. ft.  •  Fully furnished,Studio,1,1
"Parc 3, Cheras","Cheras, Kuala Lumpur","RM 2,000",(RM 2.31 per sq. ft.),Serviced Residence  •  Built-up : 865 sq. ft.  •  Partly furnished,3,2,2
"Aria, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 4.65 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 753 sq. ft.,1,1,1
"Aria, KLCC","KLCC, Kuala Lumpur","RM 10,000",(RM 6.67 per sq. ft.),"Serviced Residence  •  Built-up : 1,500 sq. ft.  •  Fully furnished",3,3,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 6,500",(RM 3.15 per sq. ft.),"Condominium  •  Built-up : 2,065 sq. ft.  •  Partly furnished",4+1,4,2
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur","RM 3,000",(RM 3.76 per sq. ft.),Condominium  •  Built-up : 797 sq. ft.  •  Fully furnished,1+1,1,1
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,800",(RM 2.76 per sq. ft.),"Condominium  •  Built-up : 1,377 sq. ft.  •  Partly furnished",3+1,3,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 10,000",(RM 3.62 per sq. ft.),"Condominium  •  Built-up : 2,766 sq. ft.  •  Fully furnished",4+1,6,3
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,200",(RM 3.48 per sq. ft.),"Condominium  •  Built-up : 1,496 sq. ft.  •  Partly furnished",4,4,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,500",(RM 3.78 per sq. ft.),Condominium | Duplex  •  Built-up : 662 sq. ft.  •  Fully furnished,1,1,1
"The Troika, KLCC","KLCC, Kuala Lumpur","RM 9,000",(RM 3.6 per sq. ft.),"Condominium | Corner lot  •  Built-up : 2,500 sq. ft.  •  Partly furnished",3+1,4,2
"Lexa Residence @ The Quartz WM, Wangsa Maju","Wangsa Maju, Kuala Lumpur","RM 1,800",(RM 2.17 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 830 sq. ft.  •  Partly furnished,3,2,2
Titiwangsa,"Titiwangsa, Kuala Lumpur","RM 15,000",(RM 1.88 per sq. ft.),"Bungalow | Intermediate  •  Built-up : 8,000 sq. ft.  •  Partly furnished",8+1,8,
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,600",(RM 1.88 per sq. ft.),Condominium | Intermediate  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 4,500",(RM 3.91 per sq. ft.),"Condominium  •  Built-up : 1,152 sq. ft.",2,1,2
"Sky Suites @ KLCC, KLCC","KLCC, Kuala Lumpur","RM 3,300",(RM 3.89 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 849 sq. ft.  •  Fully furnished,3,2,
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 5,500",(RM 3.99 per sq. ft.),"Condominium  •  Built-up : 1,377 sq. ft.",3,2,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,400",(RM 2.92 per sq. ft.),Condominium | Intermediate  •  Built-up : 821 sq. ft.  •  Fully furnished,1+1,1,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 4,400",(RM 3.18 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,385 sq. ft.  •  Fully furnished",2+1,2,2
"Pavilion Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 6,500",(RM 4.33 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,500 sq. ft.  •  Fully furnished",2,3,1
"EkoCheras, Cheras","Cheras, Kuala Lumpur","RM 1,900",(RM 3.2 per sq. ft.),Serviced Residence  •  Built-up : 594 sq. ft.  •  Fully furnished,1,1,1
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 7,500",(RM 4.1 per sq. ft.),"Condominium  •  Built-up : 1,830 sq. ft.  •  Fully furnished",4+1,4,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 12,000",(RM 4.34 per sq. ft.),"Condominium  •  Built-up : 2,767 sq. ft.  •  Fully furnished",4+1,6,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,000",(RM 4.12 per sq. ft.),"Condominium  •  Built-up : 1,215 sq. ft.  •  Fully furnished",3,2,2
"Desa Green, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,700",(RM 2.9 per sq. ft.),Serviced Residence  •  Built-up : 587 sq. ft.  •  Partly furnished,1,1,1
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 7,500",(RM 3.63 per sq. ft.),"Condominium  •  Built-up : 2,065 sq. ft.  •  Fully furnished",4+1,4,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 4,500",(RM 6.27 per sq. ft.),Condominium | Intermediate  •  Built-up : 718 sq. ft.  •  Fully furnished,1,1,
"WANGSA 9 RESIDENCY, Wangsa Maju","Wangsa Maju, Kuala Lumpur","RM 2,300",(RM 2.23 per sq. ft.),"Condominium  •  Built-up : 1,033 sq. ft.",2,2,2
